항목,내용,글자수,비고
[기본 정보],,,
제목,시놀로지 NAS 풀스택 인프라 구축 완전 가이드,22자,모든 서점 공통
크몽 서비스명,[시놀로지NAS] 풀스택 웹서비스 구축 완전 가이드 (Cloudflare · Supabase · 토스페이먼츠),44자,크몽은 서비스명 형식
저자명,이인성,,
출판사,웍스프리 (WorksFree),,출판사 파트너 등록 완료
출판일,2026년 06월 22일,,
정가,39900,,원 단위 숫자만
ISBN,979-11-992314-7-4 (15000),,전자책 동일 ISBN 사용
언어,한국어,,
[가격·수익 계산],,,
서점 정가,39900원,,
서점 수익 (70%),27930원,,교보·예스24·알라딘
크몽 판매가,39900원,,동일 가격 유지
크몽 수익 (80%),31920원,,서점 대비 +3990원/판매
[키워드],,,
키워드1,시놀로지NAS,,
키워드2,Cloudflare,,
키워드3,Supabase,,
키워드4,토스페이먼츠,,
키워드5,웹서비스구축,,크몽 최대 5개 한도
서점 추가태그,NAS웹서버 Cloudflare Tunnel RBAC 전자책 IT가이드,,서점별 태그 UI에서 공백 구분 입력
[책 소개],,,
소개_단문,Synology NAS로 도메인부터 결제까지 — Cloudflare·Supabase·토스페이먼츠 실전 구축 가이드 (95p),53자,
소개_중문,시놀로지 NAS 한 대로 도메인 연결부터 회원 인증·온라인 결제까지 풀스택 웹서비스를 직접 구축합니다. 가비아 도메인 → Cloudflare Tunnel → Supabase 회원·DB → 토스페이먼츠 결제 → RBAC 권한 관리 → 배포 자동화까지 95페이지 안에 실전 코드와 함께 담았습니다. 클라우드 월정액 없이 NAS 한 대로 프로덕션 수준의 서비스를 운영하고 싶은 분을 위한 가이드입니다.,226자,
소개_장문,시놀로지 NAS 한 대로 실제 운영 가능한 풀스택 웹서비스를 처음부터 끝까지 구축합니다. 가비아에서 도메인을 구입하고 Cloudflare에 등록한 뒤 Tunnel을 통해 공유기·포트 포워딩 없이 NAS를 외부에 공개합니다. Cloudflare Worker로 서버리스 API 게이트웨이를 구성하고 Supabase로 회원가입·로그인 시스템과 관계형 데이터베이스를 완성합니다. 토스페이먼츠 결제를 연동하고 RBAC으로 권한을 체계화하며 Windows PowerShell 배포 자동화 스크립트까지 갖춥니다. ▶ 완성 목록: 커스텀 도메인 HTTPS 웹서비스(Cloudflare Tunnel) / 소셜·이메일 로그인 회원 시스템(Supabase Auth) / 실시간 DB + 크레딧·결제 이력 관리(Supabase DB) / 국내 카드 결제(토스페이먼츠) / 역할 기반 접근 권한(RBAC) / 자동 배포 스크립트(PowerShell) ▶ 월 클라우드 비용 없이 NAS 한 대로 프로덕션 서비스를 운영하고 싶은 개발자·소상공인·IT 실무자를 위한 95페이지 집약형 실전 가이드입니다.,680자,서점 상세 설명란 붙여넣기
[목차],,,
목차_텍스트,이 가이드를 읽기 전에 / 전체 구성도 / 사전 준비물 / 1장. 가비아 — 도메인 구입 및 네임서버 변경 / 2장. Cloudflare — 계정 설정 및 도메인 등록 / 3장. Synology NAS — DSM 7.x 웹 서비스 설정 / 4장. Cloudflare Tunnel — 공유기 설정 없이 NAS 연결 / 5장. 서브도메인 DNS 설정 / 6장. Cloudflare Worker — 외부 API 호출 / 7장. Supabase — 회원 로그인 시스템 구축 / 8장. Supabase 데이터베이스 — 회원 정보·결제·크레딧 저장 / 9장. 온라인 결제 연동 — 토스페이먼츠 (국내) / 10장. 웹사이트 코드와 Supabase 연결 / 11장. 배포 자동화 스크립트 (Windows PowerShell) / 12장. 역할 기반 접근 제어 (RBAC) / 13장. 테스트 환경 구축 — Playwright + Supabase 분리 / 부록 A. 전체 설정 순서 요약 / 부록 B. 트러블슈팅 / 부록 C. 포트 구성 참고표 / 부록 D. 파일 위치 참고 (WorksFree Hub 기준),,슬래시(/)를 줄바꿈으로 대체 후 붙여넣기
[저자 소개],,,
저자소개,이인성 | WorksFree 운영자. Synology NAS 기반 풀스택 웹서비스를 직접 설계·운영하며 축적한 실전 노하우를 공유합니다. worksfree.kr,66자,
[크몽 전용],,,
크몽 서비스 기본 설명,NAS 한 대로 실제 운영 가능한 풀스택 웹서비스 구축 가이드 PDF를 제공합니다. 가비아 도메인부터 Cloudflare Tunnel·Worker / Supabase 회원·DB / 토스페이먼츠 결제 / RBAC 권한 관리 / PowerShell 배포 자동화까지 95페이지 실전 코드 포함.,143자,크몽 서비스 기본 설명란
크몽 STANDARD 구성,전자책 PDF 파일 1개 즉시 전달,,패키지 설명
크몽 미리보기 작업,1~9페이지 JPG 캡처 (최소 5장 / 본문 4장 이상 필수),,크몽 심사 통과 핵심 조건
[파일 정보],,,
전자책 파일명,NAS웹서비스_구축가이드.pdf,,
파일 크기,5.3 MB,,PDF 200MB 제한 여유 있음
페이지 수,95,,
표지 변환 필요,cover.html → JPG 1080px 이상,미완료,Edge로 1080px 내보내기 또는 PDF 1페이지 추출
