구분,항목,교보문고,예스24,알라딘,크몽,비고
[계약·등록],등록 방법,퍼블리셔 CMS 직접 등록,파트너 CMS 직접 등록,공급사 CMS 직접 등록,판매자 서비스 직접 등록,출판사 파트너 등록 완료
,URL,product.kyobobook.co.kr/pod/introduce,ebook@yes24.com,ebookteam@aladin.co.kr,kmong.com,
,심사 기간,약 3일,약 3~5일,약 3~5일,평일 2~3일,
,저자 수익률,약 70%,약 70%,약 70%,80% (수수료 20%),크몽이 서점보다 수익↑
[기본 서지정보],제목,필수 (50자 이내),필수,필수,"필수 (서비스명)",
,저자명,필수,필수,필수,불필요,
,출판사명,필수,필수,필수,불필요,
,출판일,필수,필수,필수,불필요,
,정가,필수,필수,필수,직접 가격 설정,원 단위 숫자
,ISBN,필수,필수,필수,불필요,
,언어,필수,필수,필수,불필요,한국어
,카테고리,컴퓨터/IT > 네트워크·서버,컴퓨터/인터넷 > 네트워크,컴퓨터/IT,전자책 > IT/컴퓨터,서점 UI에서 직접 확인
,성인 콘텐츠 여부,필수 체크 (해당없음),필수 체크,필수 체크,불필요,
[텍스트 콘텐츠],책소개 단문 (100자),권장,권장,권장,활용 가능,
,책소개 중문 (300자),권장,권장,권장,서비스 기본 설명,
,책소개 장문 (700자+),필수,필수,필수,서비스 상세 설명 필수,
,목차,권장,권장,권장,선택,
,저자 소개 (200자),권장,권장,권장,선택,
,키워드·태그,권장,권장,권장,필수 (최대 5개),
[파일·미디어],전자책 파일,PDF 200MB이하 or EPUB,PDF or EPUB,PDF or EPUB,PDF,현재 5.3MB → 여유 있음
,표지 이미지,JPG 1080px 이상,JPG 1000px 이상,JPG 1000px 이상,JPG 4:3 652px 이상,1080px 하나로 전부 대응
,미리보기,자동 처리,자동 처리,자동 처리,5~9장 JPG 직접 제작,크몽만 별도 작업 필요
[크몽 전용],서비스 타입,해당없음,해당없음,해당없음,전자책 > PDF 파일,
,패키지 구성,해당없음,해당없음,해당없음,STANDARD 단일 권장,DELUXE에 Q&A 추가 가능
,미리보기 조건,해당없음,해당없음,해당없음,본문 4장 이상 포함 필수,최소 5장 ~ 최대 9장
